学号,知识点id,分数
223401010235,4,100
223401010236,4,0
223401010237,4,100
223401010238,4,0
223401010301,4,100
223401010302,4,0
223401010303,4,100
223401010304,4,0
223401010305,4,100
223401010306,4,100
223401010307,4,100
223401010308,4,100
223401010310,4,100
223401010311,4,0
223401010312,4,0
223401010313,4,100
223401010314,4,100
223401010315,4,100
223401010316,4,100
223401010317,4,100
223401010318,4,0
223401010319,4,0
223401010320,4,0
223401010321,4,100
223401010322,4,0
223401010323,4,0
223401010324,4,100
223401010325,4,100
223401010326,4,0
223401010327,4,100
223401010328,4,100
223401010329,4,100
223401010330,4,100
223401010331,4,0
223401010332,4,100
223401010334,4,0
223401010335,4,100
223401010401,4,100
223401010402,4,100
223401010403,4,100
223401010404,4,0
223401010405,4,0
223401010406,4,0
223401010407,4,100
223401010408,4,100
223401010409,4,0
223401010410,4,100
223401010411,4,100
223401010412,4,100
223401010413,4,100
223401010414,4,0
223401010415,4,0
223401010416,4,0
223401010417,4,100
223401010418,4,100
223401010419,4,100
223401010420,4,0
223401010421,4,100
223401010422,4,0
223401010423,4,0
223401010424,4,100
223401010425,4,0
223401010426,4,0
223401010427,4,100
223401010428,4,0
223401010429,4,0
223401010430,4,100
223401010431,4,0
223401010432,4,100
223401010433,4,0
223401010434,4,100
223401010435,4,100
223401040101,4,100
223401040102,4,0
223401040103,4,0
223401040104,4,0
223401040105,4,0
223401040106,4,100
223401040107,4,100
223401040108,4,100
223401040109,4,0
223401040110,4,100
223401040111,4,100
223401040112,4,100
223401040113,4,0
223401040114,4,0
223401040115,4,100
223401040116,4,100
223401040117,4,0
223401040118,4,100
223401040119,4,0
223401040120,4,0
223401040121,4,100
223401040122,4,0
223401040123,4,0
223401040124,4,100
223401040125,4,100
223401040126,4,0
223401040127,4,0
223401040128,4,0
223401040129,4,0
223401040130,4,100
223401040131,4,0
223401040132,4,0
223401040133,4,0
223401040134,4,100
223401040135,4,0
223401040201,4,100
223401040202,4,100
223401040203,4,0
223401040204,4,100
223401040205,4,0
223401040206,4,0
223401040207,4,0
223401040208,4,100
223401040209,4,100
223401040210,4,0
223401040211,4,100
223401040212,4,100
223401040213,4,0
223401040214,4,100
223401040215,4,100
223401040216,4,0
223401040217,4,100
223401040218,4,100
223401040219,4,100
223401040220,4,100
223401040221,4,0
223401040222,4,100
223401040223,4,100
223401040224,4,100
223401040225,4,100
223401040226,4,100
223401040227,4,100
223401040228,4,0
223401040229,4,0
223401040230,4,100
223401040231,4,0
223401040232,4,100
223401040233,4,0
223401040234,4,100
223401040235,4,100
223401050101,4,100
223401050102,4,0
223401050103,4,100
223401050104,4,100
223401050105,4,100
223401050106,4,0
223401050107,4,100
223401050108,4,100
223401050109,4,100
223401050110,4,0
223401050111,4,100
223401050112,4,0
223401050113,4,0
223401050114,4,0
223401050115,4,0
223401050116,4,0
223401050117,4,100
223401050118,4,0
223401050119,4,100
223401050120,4,0
223401050121,4,100
223401050122,4,100
223401050123,4,100
223401050124,4,0
223401050125,4,100
223401050126,4,0
223401050127,4,100
223401050128,4,100
223401050129,4,0
223401050130,4,100
223401050131,4,0
223401050132,4,100
223401050134,4,0
223401050135,4,100
223401050201,4,100
223401050202,4,0
223401050203,4,0
223401050204,4,0
223401050205,4,0
223401050206,4,0
223401050207,4,100
223401050208,4,0
223401050209,4,0
223401050210,4,100
223401050211,4,100
223401050212,4,100
223401050213,4,0
223401050214,4,100
223401050215,4,0
223401050216,4,100
223401050217,4,0
223401050218,4,100
223401050219,4,100
223401050220,4,0
223401050221,4,100
223401050222,4,100
223401050223,4,0
223401050224,4,100
223401050225,4,100
223401050226,4,0
223401050227,4,0
223401050228,4,100
223401050229,4,0
223401050230,4,100
223401050231,4,0
223401050232,4,0
223401050233,4,0
223401050234,4,0
223401050235,4,100
223405010213,4,0
223406010708,4,100
223406010709,4,100
223407020133,4,100
223407020218,4,0
223408110202,4,100
223409010210,4,0
223411010109,4,0
223411010111,4,100
223411010232,4,0
223411020111,4,100
223411070102,4,100
223412010212,4,100
223423050108,4,100
223423050133,4,100
223428020104,4,0
223428020136,4,0
223428030201,4,100
223428060112,4,100
223428060201,4,100
223428060202,4,0
223428060218,4,100
183423050114,5,100
193401010122,5,0
203401050130,5,0
203406010614,5,0
203409010318,5,0
213401010106,5,100
213401040108,5,100
213401050132,5,0
213401050217,5,100
213401050227,5,0
213401050230,5,0
213412010226,5,100
213428030211,5,100
213428040133,5,0
213428040214,5,100
223401010101,5,100
223401010102,5,0
223401010103,5,0
223401010104,5,0
223401010105,5,100
223401010106,5,0
223401010107,5,100
223401010108,5,100
223401010109,5,0
223401010110,5,0
223401010112,5,100
223401010113,5,100
223401010114,5,100
223401010115,5,100
223401010116,5,0
223401010117,5,100
223401010118,5,100
223401010119,5,100
223401010120,5,100
223401010121,5,100
223401010122,5,0
223401010123,5,100
223401010124,5,100
223401010125,5,100
223401010126,5,100
223401010127,5,100
223401010128,5,100
223401010129,5,0
223401010130,5,0
223401010131,5,0
223401010132,5,0
223401010133,5,100
223401010134,5,100
223401010136,5,100
223401010137,5,100
223401010138,5,0
223401010140,5,0
223401010201,5,0
223401010202,5,100
223401010203,5,100
223401010204,5,0
223401010205,5,0
223401010206,5,100
223401010207,5,100
223401010208,5,100
223401010209,5,100
223401010210,5,100
223401010211,5,100
223401010212,5,100
223401010214,5,0
223401010215,5,0
223401010216,5,100
223401010217,5,100
223401010218,5,100
223401010219,5,0
223401010220,5,100
223401010221,5,0
223401010222,5,100
223401010223,5,100
223401010224,5,0
223401010225,5,100
223401010226,5,0
223401010227,5,100
223401010228,5,0
223401010229,5,100
223401010230,5,100
