学号,知识点id,年份,分数
223401010215,1777575459433881601,2023-2024,-1
223401010216,1777575459433881601,2023-2024,-1
223401010217,1777575459433881601,2023-2024,-1
223401010218,1777575459433881601,2023-2024,-1
223401010219,1777575459433881601,2023-2024,-1
223401010220,1777575459433881601,2023-2024,-1
223401010221,1777575459433881601,2023-2024,-1
223401010222,1777575459433881601,2023-2024,-1
223401010223,1777575459433881601,2023-2024,-1
223401010224,1777575459433881601,2023-2024,-1
223401010225,1777575459433881601,2023-2024,-1
223401010226,1777575459433881601,2023-2024,-1
223401010227,1777575459433881601,2023-2024,-1
223401010228,1777575459433881601,2023-2024,-1
223401010229,1777575459433881601,2023-2024,-1
223401010230,1777575459433881601,2023-2024,-1
223401010231,1777575459433881601,2023-2024,-1
223401010232,1777575459433881601,2023-2024,-1
223401010233,1777575459433881601,2023-2024,-1
223401010234,1777575459433881601,2023-2024,-1
223401010235,1777575459433881601,2023-2024,-1
223401010236,1777575459433881601,2023-2024,-1
223401010237,1777575459433881601,2023-2024,-1
223401010238,1777575459433881601,2023-2024,-1
223401010301,1777575459433881601,2023-2024,-1
223401010302,1777575459433881601,2023-2024,-1
223401010303,1777575459433881601,2023-2024,-1
223401010304,1777575459433881601,2023-2024,-1
223401010305,1777575459433881601,2023-2024,-1
223401010306,1777575459433881601,2023-2024,-1
223401010307,1777575459433881601,2023-2024,-1
223401010308,1777575459433881601,2023-2024,-1
223401010310,1777575459433881601,2023-2024,-1
223401010311,1777575459433881601,2023-2024,-1
223401010312,1777575459433881601,2023-2024,-1
223401010313,1777575459433881601,2023-2024,-1
223401010314,1777575459433881601,2023-2024,-1
223401010315,1777575459433881601,2023-2024,-1
223401010316,1777575459433881601,2023-2024,-1
223401010317,1777575459433881601,2023-2024,-1
223401010318,1777575459433881601,2023-2024,-1
223401010319,1777575459433881601,2023-2024,-1
223401010320,1777575459433881601,2023-2024,-1
223401010321,1777575459433881601,2023-2024,-1
223401010322,1777575459433881601,2023-2024,-1
223401010323,1777575459433881601,2023-2024,-1
223401010324,1777575459433881601,2023-2024,-1
223401010325,1777575459433881601,2023-2024,-1
